SUBMITTED_ID	FBID_KEY	ASSOCIATED_GENE	SYMBOL
128up-PA	FBpp0087084	128up	128up-PA
128up-PA	FBpp0087084	128up	128up-PA
140up-PA	FBpp0082370	140up	140up-PA
140up-PB	FBpp0308011	140up	140up-PB
14-3-3epsilon-PA	FBpp0082987	14-3-3epsilon	14-3-3epsilon-PA
14-3-3epsilon-PA	FBpp0082987	14-3-3epsilon	14-3-3epsilon-PA
14-3-3epsilon-PB	FBpp0082988	14-3-3epsilon	14-3-3epsilon-PB
14-3-3epsilon-PB	FBpp0082988	14-3-3epsilon	14-3-3epsilon-PB
14-3-3epsilon-PC	FBpp0082989	14-3-3epsilon	14-3-3epsilon-PC
14-3-3epsilon-PC	FBpp0082989	14-3-3epsilon	14-3-3epsilon-PC
14-3-3epsilon-PD	FBpp0082990	14-3-3epsilon	14-3-3epsilon-PD
14-3-3epsilon-PD	FBpp0082990	14-3-3epsilon	14-3-3epsilon-PD
14-3-3zeta-PA	FBpp0087501	14-3-3zeta	14-3-3zeta-PA
14-3-3zeta-PA	FBpp0087501	14-3-3zeta	14-3-3zeta-PA
14-3-3zeta-PB	FBpp0087500	14-3-3zeta	14-3-3zeta-PB
14-3-3zeta-PB	FBpp0087500	14-3-3zeta	14-3-3zeta-PB
14-3-3zeta-PC	FBpp0089338	14-3-3zeta	14-3-3zeta-PC
14-3-3zeta-PC	FBpp0089338	14-3-3zeta	14-3-3zeta-PC
14-3-3zeta-PD	FBpp0087502	14-3-3zeta	14-3-3zeta-PD
14-3-3zeta-PD	FBpp0087502	14-3-3zeta	14-3-3zeta-PD
14-3-3zeta-PE	FBpp0087503	14-3-3zeta	14-3-3zeta-PE
14-3-3zeta-PE	FBpp0087503	14-3-3zeta	14-3-3zeta-PE
14-3-3zeta-PF	FBpp0087504	14-3-3zeta	14-3-3zeta-PF
14-3-3zeta-PF	FBpp0087504	14-3-3zeta	14-3-3zeta-PF
14-3-3zeta-PG	FBpp0087505	14-3-3zeta	14-3-3zeta-PG
14-3-3zeta-PG	FBpp0087505	14-3-3zeta	14-3-3zeta-PG
14-3-3zeta-PH	FBpp0089337	14-3-3zeta	14-3-3zeta-PH
14-3-3zeta-PH	FBpp0089337	14-3-3zeta	14-3-3zeta-PH
14-3-3zeta-PI	FBpp0099539	14-3-3zeta	14-3-3zeta-PI
14-3-3zeta-PI	FBpp0099539	14-3-3zeta	14-3-3zeta-PI
14-3-3zeta-PJ	FBpp0099540	14-3-3zeta	14-3-3zeta-PJ
14-3-3zeta-PJ	FBpp0099540	14-3-3zeta	14-3-3zeta-PJ
14-3-3zeta-PK	FBpp0305136	14-3-3zeta	14-3-3zeta-PK
14-3-3zeta-PK	FBpp0305136	14-3-3zeta	14-3-3zeta-PK
14-3-3zeta-PL	FBpp0305137	14-3-3zeta	14-3-3zeta-PL
14-3-3zeta-PL	FBpp0305137	14-3-3zeta	14-3-3zeta-PL
18w-PA	FBpp0085620	18w	18w-PA
18w-PA	FBpp0085620	18w	18w-PA
18w-PA	FBpp0085620	18w	18w-PA
18w-PA	FBpp0085620	18w	18w-PA
18w-PA	FBpp0085620	18w	18w-PA
18w-PA	FBpp0085620	18w	18w-PA
26-29-p-PA	FBpp0075508	26-29-p	26-29-p-PA
2mit-PA	FBpp0290651	2mit	2mit-PA
2mit-PB	FBpp0303176	2mit	2mit-PB
2mit-PC	FBpp0311062	2mit	2mit-PC
2mit-PD	FBpp0311063	2mit	2mit-PD
312-PA	FBpp0072573	312	312-PA
312-PB	FBpp0301845	312	312-PB
5-HT1A-PB	FBpp0085761	5-HT1A	5-HT1A-PB
5-HT1A-PC	FBpp0423127	5-HT1A	5-HT1A-PC
5-HT1B-PA	FBpp0085783	5-HT1B	5-HT1B-PA
5-HT1B-PD	FBpp0303088	5-HT1B	5-HT1B-PD
5-HT1B-PD	FBpp0303088	5-HT1B	5-HT1B-PD
5-HT1B-PE	FBpp0303089	5-HT1B	5-HT1B-PE
5-HT2A-PA	FBpp0078494	5-HT2A	5-HT2A-PA
5-HT2A-PB	FBpp0078495	5-HT2A	5-HT2A-PB
5-HT2A-PD	FBpp0289701	5-HT2A	5-HT2A-PD
5-HT2A-PF	FBpp0308487	5-HT2A	5-HT2A-PF
5-HT2A-PH	FBpp0308489	5-HT2A	5-HT2A-PH
5-HT2B-PD	FBpp0292636	5-HT2B	5-HT2B-PD
5-HT2B-PE	FBpp0303177	5-HT2B	5-HT2B-PE
5-HT2B-PF	FBpp0308426	5-HT2B	5-HT2B-PF
5-HT7-PA	FBpp0085108	5-HT7	5-HT7-PA
5-HT7-PA	FBpp0085108	5-HT7	5-HT7-PA
5-HT7-PB	FBpp0306575	5-HT7	5-HT7-PB
5-HT7-PB	FBpp0306575	5-HT7	5-HT7-PB
5PtaseI-PB	FBpp0288935	5PtaseI	5PtaseI-PB
5PtaseI-PG	FBpp0423117	5PtaseI	5PtaseI-PG
7B2-PA	FBpp0078435	7B2	7B2-PA
7B2-PB	FBpp0100150	7B2	7B2-PB
a10-PA	FBpp0075050	a10	a10-PA
a10-PA	FBpp0075050	a10	a10-PA
a10-PA	FBpp0075050	a10	a10-PA
A16-PA	FBpp0080008	A16	A16-PA
A16-PA	FBpp0080008	A16	A16-PA
a5-PA	FBpp0077588	a5	a5-PA
a5-PA	FBpp0077588	a5	a5-PA
a5-PA	FBpp0077588	a5	a5-PA
a5-PA	FBpp0077588	a5	a5-PA
a5-PA	FBpp0077588	a5	a5-PA
a5-PA	FBpp0077588	a5	a5-PA
a5-PA	FBpp0077588	a5	a5-PA
a5-PA	FBpp0077588	a5	a5-PA
a6-PA	FBpp0070269	a6	a6-PA
a6-PB	FBpp0303433	a6	a6-PB
a6-PC	FBpp0305327	a6	a6-PC
AANAT1-PA	FBpp0072163	AANAT1	AANAT1-PA
AANAT1-PA	FBpp0072163	AANAT1	AANAT1-PA
AANAT1-PB	FBpp0089101	AANAT1	AANAT1-PB
AANATL2-PA	FBpp0078873	AANATL2	AANATL2-PA
AANATL2-PA	FBpp0078873	AANATL2	AANATL2-PA
AANATL2-PA	FBpp0078873	AANATL2	AANATL2-PA
AANATL2-PA	FBpp0078873	AANATL2	AANATL2-PA
AANATL2-PA	FBpp0078873	AANATL2	AANATL2-PA
AANATL2-PA	FBpp0078873	AANATL2	AANATL2-PA
AANATL2-PA	FBpp0078873	AANATL2	AANATL2-PA
AANATL2-PA	FBpp0078873	AANATL2	AANATL2-PA
AANATL2-PB	FBpp0309152	AANATL2	AANATL2-PB
AANATL2-PB	FBpp0309152	AANATL2	AANATL2-PB
AANATL2-PB	FBpp0309152	AANATL2	AANATL2-PB
AANATL2-PB	FBpp0309152	AANATL2	AANATL2-PB
AANATL2-PB	FBpp0309152	AANATL2	AANATL2-PB
AANATL2-PB	FBpp0309152	AANATL2	AANATL2-PB
AANATL2-PB	FBpp0309152	AANATL2	AANATL2-PB
AANATL2-PB	FBpp0309152	AANATL2	AANATL2-PB
AANATL3-PA	FBpp0080882	AANATL3	AANATL3-PA
AANATL3-PA	FBpp0080882	AANATL3	AANATL3-PA
AANATL3-PA	FBpp0080882	AANATL3	AANATL3-PA
AANATL3-PA	FBpp0080882	AANATL3	AANATL3-PA
AANATL3-PA	FBpp0080882	AANATL3	AANATL3-PA
AANATL3-PA	FBpp0080882	AANATL3	AANATL3-PA
AANATL3-PA	FBpp0080882	AANATL3	AANATL3-PA
AANATL3-PA	FBpp0080882	AANATL3	AANATL3-PA
AANATL4-PA	FBpp0085702	AANATL4	AANATL4-PA
AANATL4-PA	FBpp0085702	AANATL4	AANATL4-PA
AANATL4-PA	FBpp0085702	AANATL4	AANATL4-PA
AANATL4-PA	FBpp0085702	AANATL4	AANATL4-PA
AANATL4-PA	FBpp0085702	AANATL4	AANATL4-PA
AANATL4-PA	FBpp0085702	AANATL4	AANATL4-PA
AANATL4-PA	FBpp0085702	AANATL4	AANATL4-PA
AANATL5-PA	FBpp0085746	AANATL5	AANATL5-PA
AANATL5-PA	FBpp0085746	AANATL5	AANATL5-PA
AANATL5-PA	FBpp0085746	AANATL5	AANATL5-PA
AANATL5-PA	FBpp0085746	AANATL5	AANATL5-PA
AANATL5-PA	FBpp0085746	AANATL5	AANATL5-PA
AANATL5-PA	FBpp0085746	AANATL5	AANATL5-PA
AANATL5-PA	FBpp0085746	AANATL5	AANATL5-PA
AANATL6-PB	FBpp0289819	AANATL6	AANATL6-PB
AANATL6-PB	FBpp0289819	AANATL6	AANATL6-PB
AANATL6-PB	FBpp0289819	AANATL6	AANATL6-PB
AANATL6-PB	FBpp0289819	AANATL6	AANATL6-PB
AANATL6-PB	FBpp0289819	AANATL6	AANATL6-PB
AANATL7-PA	FBpp0070421	AANATL7	AANATL7-PA
AANATL7-PB	FBpp0291635	AANATL7	AANATL7-PB
AANATL7-PC	FBpp0291636	AANATL7	AANATL7-PC
AANATL7-PD	FBpp0291637	AANATL7	AANATL7-PD
Aasdh-PA	FBpp0088615	Aasdh	Aasdh-PA
Aasdh-PA	FBpp0088615	Aasdh	Aasdh-PA
Aasdh-PC	FBpp0309217	Aasdh	Aasdh-PC
Aasdh-PC	FBpp0309217	Aasdh	Aasdh-PC
Aasdh-PD	FBpp0309218	Aasdh	Aasdh-PD
Aasdh-PD	FBpp0309218	Aasdh	Aasdh-PD
Aatf-PA	FBpp0078929	Aatf	Aatf-PA
aay-PA	FBpp0076185	aay	aay-PA
ABCA-PB	FBpp0297618	ABCA	ABCA-PB
ABCA-PB	FBpp0297618	ABCA	ABCA-PB
ABCA-PC	FBpp0304764	ABCA	ABCA-PC
ABCA-PC	FBpp0304764	ABCA	ABCA-PC
ABCA-PD	FBpp0304765	ABCA	ABCA-PD
ABCA-PD	FBpp0304765	ABCA	ABCA-PD
ABCB7-PA	FBpp0072637	ABCB7	ABCB7-PA
ABCB7-PA	FBpp0072637	ABCB7	ABCB7-PA
ABCB7-PA	FBpp0072637	ABCB7	ABCB7-PA
ABCB7-PB	FBpp0072638	ABCB7	ABCB7-PB
ABCB7-PB	FBpp0072638	ABCB7	ABCB7-PB
ABCB7-PB	FBpp0072638	ABCB7	ABCB7-PB
ABCD-PA	FBpp0088217	ABCD	ABCD-PA
ABCD-PA	FBpp0088217	ABCD	ABCD-PA
ABCD-PB	FBpp0088215	ABCD	ABCD-PB
ABCD-PB	FBpp0088215	ABCD	ABCD-PB
ABCD-PC	FBpp0088214	ABCD	ABCD-PC
ABCD-PC	FBpp0088214	ABCD	ABCD-PC
ABCD-PD	FBpp0088213	ABCD	ABCD-PD
ABCD-PD	FBpp0088213	ABCD	ABCD-PD
ABCD-PG	FBpp0088216	ABCD	ABCD-PG
ABCD-PG	FBpp0088216	ABCD	ABCD-PG
ABCD-PH	FBpp0300567	ABCD	ABCD-PH
ABCD-PH	FBpp0300567	ABCD	ABCD-PH
abd-A-PA	FBpp0082828	abd-A	abd-A-PA
abd-A-PB	FBpp0082829	abd-A	abd-A-PB
abd-A-PC	FBpp0289712	abd-A	abd-A-PC
abd-A-PD	FBpp0297433	abd-A	abd-A-PD
Abd-B-PA	FBpp0082824	Abd-B	Abd-B-PA
Abd-B-PB	FBpp0082826	Abd-B	Abd-B-PB
Abd-B-PC	FBpp0082823	Abd-B	Abd-B-PC
Abd-B-PD	FBpp0082825	Abd-B	Abd-B-PD
Abd-B-PE	FBpp0089276	Abd-B	Abd-B-PE
